author,title,text
Игорь Сорокин,И потому ведём мы СВО,"И потому ведём мы СВО
Единым фронтом с болью и отвагой,
За то, что всё же ещё есть родство
И ждёт нас бабушка с советским флагом..."
Игорь Сорокин,Победа будет за нами!,"Победа будет за нами!

Сборник стихотворений, посвящённых
Специальной военной операции, написанных сотрудниками,
ветеранами и членами их семей"
Александр Вадачкория,Под Мелитополем,"Взошла луна, ушли тревоги,
Вздремнул уставший экипаж.
В пыли июльские дороги,
И этот город уже наш.

Солёный ветер Черноморья
Неспешно степь сухую гнёт,
Пусты воронки в чёрном поле
Напоминают: был прилёт.

Когда-то здесь врагам России
Письмо писал казак лихой,
Теперь на этом месте силы
Наш узел связи боевой.

Дежурный смотрит по журналу
Доклады предыдущих смен:
Исправны блоки и каналы,
Но всё равно тревожно всем.

По связи тихо и спокойно,
И вроде никаких помех,
Но знает точно каждый воин,
Что расслабляться - это грех.

Цена ошибки - срыв задачи,
И если штатский говорит:"
Александр Вадачкория,"«Не надо, брось, авось проскачем», То служба это не простит.","«Не надо, брось, авось проскачем», То служба это не простит.

Вся жизнь в бесчисленных ученьях
В снегах, в горах, в жару и зной,
Но то - учёба, здесь - сраженье,
Теперь наш узел боевой.

Ребята наши точно знают
Связистов-воинов завет:
О связи редко вспоминают,
И только, если её нет.

А прямо здесь, на поле битвы,
Где на кону страны судьба,
Про связь желательно забыть бы,
Чтоб никогда не подвела!

Не подведёт, уверен каждый.
Работу сделав на все сто,
В порядке экипаж уставший
Июльской ночью непростой.

Вдруг звёздное ночное небо
Пронзила яркая стрела,
Сверкая грозно и свирепо,
Гадюкою шипит она.

Над степью тихой и бескрайней
Ракеты страшные летят:
Безжалостно ударил «хаймарс»
И нет узла, и нет ребят..."
Александр Вадачкория,Одна несбитая ракета,"Одна несбитая ракета
Нашла свою коварно цель.
И потеряли этим летом
Мы замечательных парней...
Беснуется за океаном
И за Днепром поганый враг,
Гадёныш, радоваться рано,
Познаешь яростных атак!

Ты будешь сломлен! В Лету канет
Вся тяжесть западных оков.
Мы победим! И русской станет
Опять мать русских городов!
Запомни, враг, что побеждает
В итоге истый патриот,
Не тот, кто связи обрывает,
А тот, кто эту связь даёт.
Покойтесь с миром, наши парни,
Одержим мы ещё побед,
Вы в памяти навеки с нами,
Богатыри - герои Z!"
Андрей Невинский,"Наступила весна, по сетям шёл приказ:","Наступила весна, по сетям шёл приказ:
«Экипаж поменять на границе!»
На восточном кордоне не смогут без нас,
Узла связи с орлом на петлицах.
Связь без права на сбой - регламент суров.
У связиста простая задача,
Чтобы смог командир доложить про врагов,
За шифрами позиции спряча.
Здесь не так, как в учебниках, времени нет.
Не совсем нас такому учили.
По колено в грязи, съехал бронежилет,
Мы по па́хоте кабель тащили.
Без дождя падал град с точки А в точку Б
Совсем рядом, в лесочке сосновом.
Помолившись, лежим в полурваном ХБ,
Жизни скрыв маскировки покровом.
Нам не всем повезло возвратиться домой,
Обстоятельства смерти - секретно.
Орден выдали маме, омытый слезой,
И три выстрела в небо посмертно.
Вам - небесного царства и пухом земля,
Жизни чьи оборвались за лентой.
Третий тост всегда ваш, память не умерла,
О вас в книгах напишут легенды!"
Дмитрий Чикатуев,Звёзды первой величины,"Очень многое значат звёзды в судьбах мира, в жизни страны.
Звёзды малые, звёзды-гиганты, звёзды первой величины...

На погонах звёзды как мостики к нам от воинов прошлых веков.
С молоком материнским впитана краснозвёздная доблесть отцов...

Эта доблесть даёт нам силы! Эта доблесть нас в бой ведёт!
Эта доблесть сынов России! Эта связь, что не подведёт!

Как и старшее поколение, боевой выполняя приказ,
Невзирая на риск выявления, вы закрыли канал, дали связь.

Но ещё не погасли диоды, стрелки датчиков не легли,"
Дмитрий Чикатуев,Как со смертными взрывами «хаймарсов» вы из «космоса» в космос ушли.,"Как со смертными взрывами «хаймарсов» вы из «космоса» в космос ушли.

И с тех пор в небесах два созвездия, два созвездия - восемь звёзд.
От Зугрэса до Мелитополя ярко светится звёздный мост.

Два созвездия - это память, это связь поколений страны,
Наша боль, наша гордость и слава звёзды первой величины!"
Дмитрий Чикатуев,"Когда почти иссякли силы, Пылал растерзанный Донбасс,","Когда почти иссякли силы, Пылал растерзанный Донбасс,
Донецк, Луганск, Саур-Могила Молили: «Защитите нас!»,
И, наконец, был дан приказ,

Они не спрятались за спины И не сбежали за предел.
Они пошли под «Град» и мины Ребята, мальчики... - мужчины!
И Верхний Ларс не их удел.

Они в атаку не ходили, Они не брали города,"
Дмитрий Чикатуев,Но верой-правдою служили И не жалели живота!,"Но верой-правдою служили И не жалели живота!

Ребята, мальчики... - мужчины! Кто ранен, кто ушёл в закат... Но не было такой причины, Чтоб показать вражине спины И отступить хоть шаг назад!

Тем, кто ушёл навеки, - память! Кто жив - почёт и долгих лет! Ребята, мальчики... - мужчины! Герои!.. Духа исполины! Цвет общества, России цвет!"
Максим Багаев,Верность долгу,"Почему на душе так темно и тревожно,
Что судьбой уготовлено в завтрашнем дне?
На Донбасской земле напряжённо и сложно,
Городские кварталы пылают в огне.

Каждый день видим тяжкую боль и страдания,
Мирных жителей много постигло утрат.
Согревают сердца только те ожидания,
Что придёт на защиту российский солдат.

Город в едком дыму, «лепестки» и растяжки,
Но задача - зачистить, и не будет другой.
Вдруг из полуразрушенной пятиэтажки
Показался мальчонка, белобрысый такой.

Мальчик очень испуган и ищет спасения.
Что же доброго в маленькой жизни его?
Только взрывы, прилёты - одни потрясения.
Как понять в восемь лет, что важнее всего?

И, увидев бойцов с буквой Z, он поднялся:
«Нас не бросят, спасут, и теперь будем вместе!»
Ведь в подвале он долго сидел и боялся,
Наконец-то пришли долгожданные вести.

Но совсем неожиданно в небе стемнело,
Засвистели ракеты над головой."
Максим Багаев,И лицо у мальчишки опять побледнело,"И лицо у мальчишки опять побледнело,
Он как будто застыл в этот миг роковой.

Молодой капитан быстро понял задачу
И рванулся к мальчишке смерти назло.
В этот раз от него отвернулась удача:
Взрыв раздался, всю спину ему посекло.

Он успел заслонить, офицер верен долгу,
Взглядом встретившись, тихо мальцу прошептал:
«Ты не бойся, сынок, жить тебе ещё долго!»
И с улыбкой, не чувствуя боли, упал.

Капитан был герой, но не думал об этом,
Если кто-то в беде, воин просто спасает.
СВО - испытание нашего иммунитета,
Ведь Россия своих никогда не бросает!"
Вячеслав Белоусов,Я - русский,"Я бурят, калмык, татарин, Я русский, дагестанец и якут.
Я на Руси рождён, от центра до окраин: Москва и Питер, Сочи и Сургут.

Идёт война - за бытие, не за ресурсы,
За право жить под солнцем для страны.
Я с тьмой воюю, потому что - русский,
Все русские стране всегда верны!

Не таракан я, чтоб забиться в щели,
Не крыса, что бежит из корабля.
Я - русский, значит, нет святее цели,
Чтобы Россия славилась в веках.

Чудское озеро и Куликово поле
Я жив, чтоб был побит в Полтаве швед,
Я бил в Смоленщине французов вволю.
Чтоб в 45 -м победить фашистский бред!

Вот и сейчас настало время битвы.
Кто победит: Россия иль нацизм?
Чтоб на родном могли читать молитвы,
Решать самим, что помнить, что забыть!

Не Западу чтоб поклоняться в мире,
А лишь родной Российской стороне!
Я - русский, посвятил судьбу России,
И ум, и сердце вверил я стране!"
Вячеслав Белоусов,Минуты вечности длиннее жизни,"Минуты вечности длиннее жизни,
Когда не жил, а просто ждал...
Боясь услышать звуки тризны,
Гася тревог в душе накал.

Когда война, и сын в окопе,
Когда не сам - ребёнок там!
И страх за жизнь, как звук синкопы...
И гордость - сам так воспитал.

И быт, работа - как в тумане,
Слов и людей круговорот.
Вдруг разум сердце всё ж обманет
И облегченье принесёт?

От новостей душа вновь стынет
И страх пронзит опять иглой...
И вдруг звонок, звонок от сына,
С вселенской радостью - Живой!
...Вот самолет коснулся грунта,
Диспетчер объявила: «Прилетел!»
Как тянутся последние минуты,
Ища у сердца прочности предел...

Вот он! Объятья, счастье,
Счастье! Слеза предательски бежит...
Минуты вечности - когда ненастье,
Секунды счастья - это жизнь!"
Вячеслав Белоусов,"Глухая ночь, а мне ещё не спится","Глухая ночь, а мне ещё не спится,
Вкруг тишина - прошёл обстрелов час.
Кому-то девушка с улыбкою уж снится,
И дрогнут мускулы сурового лица.

Нет, не буди солдата громкий выстрел
Сейчас он там, где мирно и светло.
И милая с улыбкою лучистой
Подарит нежных губ своих тепло.

Давно он не ласкал её ланиты,
Нескоро он обнимет тонкий стан,
Так пусть хоть сон - мечты его хранитель
В страну любви уводит караван.

Там не ракеты освещают ночи,
А свет звезды и утренней зари...
И зыбок мир, и весь пейзаж неточен,
Но чувства все, как пламень, там ярки!

В глазах зелёных он увидит море
И в нём утонет на сладчайший миг...
Быть может, он проснётся вскоре,
Но в буднях войн свой сон он сохранит!"
Мария Владымцева,Огонёк надежды,"Мне Россия - дом.
Мне Москва - столица.
Белый снег кругом
Не устанет сниться.
Где-то там война.
Где-то там ребята
Защищают нас
Грудью от снарядов.
Ночь по каплям пить,
Зорьку ожидая.
Трудно так любить
Брата, что стреляет.
Но растёт в сердцах
Огонёк надежды,
Снова будет мир
Таковым, как прежде,
Что уйдет печаль
И воскреснет радость,
Ведь немного так
Потерпеть осталось.
Принесём покой
На Донбасс, в Одессу.
И не будет злобе
Больше в душах места.
Зелены-сиреневы
Будут все дворы.
В небо наше майское
Полетят шары."
