author,title,text
Ян БЕРЁЗКИН,СВОИХ НЕ БРОСАЕМ!,"Мы своих не бросаем!
Потому побеждаем, Что о чести мы знаем
Из далёких веков!

Мы всегда крепко били,
Славу предков хранили,
Защищая Россию,
За добро и любовь!

В правде - вся наша сила!
И в глазах наших милых!
Пред бедою сплотились
И встаём всей страной!

Точно знаем - когда-то
Злу приходит расплата!
За победу, ребята!
И вернитесь домой!"
Ян БЕРЁЗКИН,РУССКАЯ ВЕСНА,"Последний день зимы. Весна.
И солнце ярче.
Но Украине - не до сна, -
Там точно жарче.
Весны неотвратим приход.
Сугробы тают.
Свободен будет тот народ,
Кто веру знает.

Пьянит весна. Летит весна.
Цветы разбудит."
Ян БЕРЁЗКИН,Добра со злом идёт война,"Добра со злом идёт война
Случится чудо!
Уже зимой пришла весна И стала сильной!

Бушует Русская весна Благою силой!
Весна - страна!
Моя страна!
Моя Россия!"
Ян БЕРЁЗКИН,Настало время уж такое,"Настало время уж такое,
И надо выстоять сейчас,
Не в глубине веков герои,
А здесь они, - живут средь нас!

Вот - богатырь с мечом, в кольчуге,
Вот - 45-го солдат!
Сплотились за Россию други,
И снова, знаю, победят!"
Ян БЕРЁЗКИН,Мы выстоим. Мы выдержим. Я знаю.,"Мы выстоим. Мы выдержим. Я знаю.
Мы нашу веру, словно сталь куём.
Весна уже цветёт победным маем!
И мы за ней уверенно идём!
Врагов Россия видела немало,
Желающих нам волю навязать.
Эх! - Значит, били мы тогда их мало,
- Приходиться сегодня повторять!
Америка, сиди за океаном!
Не лезь, Европа - память коротка?
Не задирайте русского Ивана,
Ох, тяжела иванова рука!"
Ян БЕРЁЗКИН,С мечом пришли - мечом и получайте.,"С мечом пришли - мечом и получайте.
Всегда давала силу Земля-мать!
Историю учите и читайте,
Чтобы ошибок впредь не повторять."
Ян БЕРЁЗКИН,Знамя - это значит знай меня!,"Знамя - это значит знай меня!
Мы его в атаку поднимали,
И в смертельном всполохе огня.
Мы за наше знамя погибали!
Трепетал, увидев знамя, враг,
А друзьям давало знамя силу.
Нас сломить не мог никто никак. -
Мы всегда врагов на славу били!
И отважны русские в огне, -
Смерть презрев, встаём в атаку с песней.
Знамя гордо реет в вышине -
Символ нашей доблести и чести!"
Владимир СИЛКИН,РОДНАЯ ПРАВЕДНАЯ РУСЬ,"Я - русский! Этим и горжусь!
И больно мне, что кто-то, где-то
Мою божественную Русь
Стереть готовится со света.
Но память русских городов
Вовек не даст себя в обиду.
И за нее я в бой готов,
В любой момент на сечу выйду.
Не троньте праведную Русь,
Она крепка в своих объятьях.
Я - русский! Этим и горжусь!
И вы гордитесь этим, братья!"
Владимир СИЛКИН,Ничего дороже нет,"Ничего дороже нет,
Кроме Родины любимой.
От неё и в душах свет
У солдат неугасимый.
Русский мир сейчас един,
От Камчатки и до Крыма.
Никому не отдадим
Нашей Родины любимой.
Не грозите, господа,
Лучше проходите мимо.
Не понять вам никогда
Нашей Родины любимой.
За неё встаём стеной
В час, когда необходимо.
Вся Россия со страной,
С нашей Родиной любимой."
Владимир СИЛКИН,"Наше оружие - слово, Мы не приемлем бравад.","Наше оружие - слово,
Мы не приемлем бравад.
И поднимается снова
Нас защитить Сталинград.

С нами погибшие деды,
Смотрят сквозь вечную тьму.
Славные наши победы
Не отдадим никому.

С армией нашей и флотом
Нас невозможно сломать.
Если не ведает кто-то,
Родина, это же - мать.

Мы защитим её снова,
Мощь в нашей армии есть.
Наше оружие - слово,
Выдержка, слава и честь.

Не беспокойся, Родина, за нас,
Ты подняла нас, ты нас воспитала.
И выполним мы твой любой приказ,
Поскольку мы из русского металла."
Владимир СИЛКИН,"Мы никому не отдадим Победы, Ни перед кем мы не склоним знамён.","Мы никому не отдадим
Победы,
Ни перед кем мы не склоним знамён.
На нас глядят из бронзы наши деды,
И мы не позабудем их имён."
Владимир СИЛКИН,"Степь просторна, небо чисто.","Степь просторна, небо чисто.
Как Россию не любить?!
Били и ещё нацистов
Сколько надо, будем бить."
Владимир СИЛКИН,"Приказ, на то он и приказ.","Приказ, на то он и приказ.
Главнокомандующий знает,
Что он надеется на вас,
И вам Россию доверяет."
Владимир СИЛКИН,Глаза сегодняшней Антанты,"Глаза сегодняшней Антанты
На нас в упор глядят с Карпат.
Со всей Европы оккупанты
Согнали к ним своих солдат.

Визжат и Вильнюс, и Варшава,
Они уже готовы в бой.
Но нашу землю, нашу славу
Не отдадим мы им с тобой."
Владимир СИЛКИН,Страшно! Идут бои,"Страшно! Идут бои
За русскую Украину,
Страшно, когда «свои»
Русским стреляют в спину.

Но за спиной - Донбасс,
Но за спиной - Одесса.
Страшно! Стреляет в нас
Вся европейская пресса.

Дипломатический вой
Безумствует вся Европа.
Выстоим! Не впервой
Шествий всемирных топот."
Владимир СИЛКИН,Либералы-пацифисты,"Либералы-пацифисты
Заявляют: «Нет войне!»
И фашисты, и нацисты
Беспрестанно бьют по мне.

И мороз идёт по коже
От визжащей этой тьмы.
Кто же Родине поможет
В этот час, если не мы?!

Вместе с армией родною
Перемелем вражью мразь,
Со своей родной страною
Не дадим втоптать нас в грязь."
Игорь ВИТЮК,СИЛА V ПРАВДЕ!,"Мы в бой идём не славы ради,
Наш долг - Россию защитить.
Мы твёрдо верим: «Сила V правде!»
И с правдой нас не победить!
Не остановят нас преграды,
Мы знаем: «В Боге смерти нет!»
И жизни нет для нас без правды,
В ней - благодать и Божий свет.

В бою, на марше, на параде
Звучат на тысячах дорог
Слова святые: «Сила V правде!
Мы - русские! И с нами Бог!»"
Игорь ВИТЮК,ZOV,"Я в бой по ZOVу сердца рвусь
Без громких пафосных речей,
Чтоб вырвать Киевскую Русь
Из лап нацистских палачей!"
Игорь ВИТЮК,РУССКИЙ ВОИН,"Мы сожмём свою Vолю в кулак
Русский воин - неодолим!
Пусть стенает поверженный враг
Ненавистный нацизм разгромим!"
Игорь ВИТЮК,МГНОВЕНИЯ ВРЕМЕНИ Z,"Нас призвало время Zed!
Мы идём дорогой Vi!
И несём победный свет
Братства, мира, и любви."
Игорь ВИТЮК,Поколение Z! Vремя выбрало нас!,"Поколение Z! Vремя выбрало нас!
Этот подвиг под силу не каждому.
Za Россию! Za Веру! И Za Донбасс!
V бой священный уходят Отважные."
Игорь ВИТЮК,Дымится Донбасская степь,"Дымится Донбасская степь
В пылающих вихрях боёв.
Нам не о чем больше жалеть
И каждый сражаться готов!"
Игорь ВИТЮК,Vремя Z срывает маски:,"Vремя Z срывает маски:
Видим мы, кто - друг, кто - враг!
И теперь в степях донбасских
Гордо реет Русский флаг!"
Игорь ВИТЮК,По ZOVу сердца мы уходим в бой!,"По ZOVу сердца мы уходим в бой!
Нас позвала любимая Россия.
Мы связаны единою судьбой.
Благослови, Господь! - И все святые!

Мы будем верно Родине служить,
И «Сила V правде!» - это точно знаем!
Любой ценой должны мы победить,
Как наши прадеды в Победном мае!

Готовность в наших душах и сердцах,
Мы выполним Садачи боевые!
Примерами останутся в веках
Герои славной Армии России!"
Игорь ВИТЮК,Гордимся мы нашей великой страною,"Гордимся мы нашей великой страною
И Русского мира столицей столиц,
Но тёмные силы грозят нам войною,
И вновь неспокойно у наших границ."
Игорь ВИТЮК,"Познали Берлин, и Париж, и Варшава,","Познали Берлин, и Париж, и Варшава,
Что русский солдат справедлив и силен.
Но если война, - мы вернёмся за славой
В сиянье российских победных знамён.

Сильны наши воины духом народным,
Никто никогда не сломил наш народ!
И будет врагам наказаньем Господним
Всегда - Авиация, Армия, Флот.

С надеждой глядит Русский мир на Россию.
И знает и враг, и спасённый собрат,
Что огненной мощью и вежливой силой
Победу одержит российский солдат!"
Игорь ВИТЮК,"Нам мир на Украине только снится,","Нам мир на Украине только снится,
Там на степных просторах льётся кровь.
Когда же злоба в кротость обратится?
В святую и небесную любовь?!.

Кошмарный сон веками гложет душу,
Нас даже власть не в силах погубить.
Неверный Запад сон наш не нарушит,
Ведь мёртвых невозможно разбудить.

Но на краю пылающей пустыни
Вновь Солнца Русского забрезжил свет.
Он озарил забытые святыни,
И русский знает - смерти в Боге нет!

И снежный пепел прошлых потрясений
Стряхнём с себя, заслышав Благовест.
И мир греха замрёт в оцепененье,
Увидев русский Православный крест.

Россия - в нас. Она уже очнулась!
И пусть орёт истошно вороньё,
С Россией Бог! Она навек вернулась
Отдать долги и возвратить своё!"
Сергей АРУТЮНОВ,Азбука этой войны проста,"Азбука этой войны проста,
Выучит гопник, поймёт эстет:
Если в неведомое езда, Z!

Господи, скрой от борзых писак,
Милость неслыханную яви,
Если и нужен какой-то знак V!

Дальше хотели читать бы Е,
Зверь, мол, бездушное существо Хрен вам.
Приканчивает бои O!"
Сергей АРУТЮНОВ,"Что нужно вам, стыдливцы, от России","Что нужно вам, стыдливцы, от России,
К чему теперь ваш пафос ледяной,
Когда грозят нам, чем всегда грозили,
Петлей, костром, расстрелом и тюрьмой?

Чего трендишь, богемная Европа,
Когда порядок твой уже отпет?
Безадресно - нельзя. Любовь до гроба
Конкретнее наводки на объект.

Он словно гроб, стоит. Обшит глазетом,
И тела жаждет, савана, свечей,
А ты смердишь безумием газетным
И голосишь, пономаря скучней.

На пике офигительных историй
Куда ты денешь руки от огня
Во времена, когда молчать пристойней,
Чем болтовня?"
Сергей ЛОБАНОВ,РУССКИЕ «ОРКИ»,"Сильна Россия, сжатая в кулак!
Такую мощь не знали вы доселе!
Коль «орки» мы, тогда узрите как
«Орда» сметает ваши цитадели!

Тяжёл и крепок «орочий» топор,
Сияет «Z» на «орочьих» знамёнах.
Вы слышите? - для вас горланит хор
«Тюльпанов», «гиацинтов» и «пионов»!

Земля дрожит - то мы идём вперёд!
Сверкает степь - то мы клинки достали!
Народы вновь слились в один народ,
Как лёд и пламя в самой прочной стали!

Сильна Россия, сжатая в кулак!
Сигнальные костры зажгли деревни.
Коль «орки» мы, тогда узрите, как
Великий ZOV спасает мир от скверны!"
Сергей ЛОБАНОВ,БРАТЦЫ,"Ну, что ж вы, братцы, с грустными глазами
Молчите, дружно головы склонив?
Прорвёмся, братцы, Родина за нами
Смиренно дышит цветом зрелых нив.

Вернёмся, братцы, верю, что вернёмся,
Чертям назло и бедам вопреки...
Ещё не раз друг другу улыбнёмся,
Когда вернёмся с берега реки.

И пусть война скрипит зубами тошно
И в сто орудий залпами орёт.
Она безумна, лжива и безбожна,
Но мы-то знаем, кто кого «сожрёт»."
Сергей ЛОБАНОВ,И кто кого поставит на колени,"И кто кого поставит на колени,
Схватив за горло «крепкой пятернёй» ...
Кто вырос под небесной русской сенью
Того «не взять» бесчинством и войной."
Сергей ЛОБАНОВ,"Не мы ли, братцы, названы десантом?","Не мы ли, братцы, названы десантом?
Не нам ли Батя* небо завещал?
...В чужую ночь шагнём мы диверсантно,
Чтоб стать началом множеству начал..."
Владимир ШИГИН,ВРЕМЯ Z!,"Символ поколения -
Оберег от бед.
Нет тебе забвения, -
Vремя Z!

Я на лоб надвину
Голубой берет.
Ты прикрой мне спину,
Vремя Z!

На броне со знаменем
Дедовых побед.
Мы верны их памяти, -
Vремя Z!"
Владимир ШИГИН,ЗА НАМИ РОССИЯ! ЗА НАМИ ДОНБАСС!,"Как деды когда-то, идём мы вперёд
России единый, сплочённый народ
На наш справедливый, решающий бой
С нацистко-бандеровской чёрной ордой.
И пусть впереди ещё много тревог,
И пусть впереди много трудных дорог,
Пусть знает весь мир и родная страна:
Одна лишь Победа на всех нам нужна!
Навеки мы помним святые слова:
«Ни шагу назад! За нами Москва!»
И знаем, вставая в атаку сейчас:
«За нами Россия! За нами Донбасс!»"
Владимир ШИГИН,Гремела на южных просторах Победная поступь полков:,"Гремела на южных просторах Победная поступь полков:
Поте́мкин, великий Суворов,
Румянцев и Ушаков...

Поныне звучат, словно в рупор,
Российскую славу приняв,
Одесса, Херсон, Мариуполь,
Очаков, Екатеринослав..."
Владимир ШИГИН,"Мать дала мне крестик, Батину тельняшку.","Мать дала мне крестик, Батину тельняшку.
В бой с братвою вместе!
Ворот нараспашку."
Владимир ШИГИН,Мамин крестик на груди - оберег священный.,"Мамин крестик на груди - оберег священный.
С ним идёт в смертельный бой парень ежедневно.
Неустанно за него мама молит Бога,
И ведёт его вперёд Русская Дорога..."
