author,title,text
Владимир СИЛКИН,РОДИНА,"Далеко ли от дерева семя
Упадет? Отвечают, что нет.
Лечит раны упрямое время,
Оставляя отчетливый след.

И однажды куда-то уехав,
Мы к истокам вернуться должны.
Тихо крикнешь и знаешь, что эхо
Отзовется с родной стороны.

Даже птицы тоскуют в разлуке.
И у них холодеют сердца.
Не с того ли печальные звуки
Часто слышатся в песне скворца?

Перелетным, возможно, попроще,
Позабыв про тепло и про тишь,
Улететь от ручья и от рощи...
Но от Родины не улетишь."
Владимир СИЛКИН,АНТИДЕЯТЕЛЯМ КУЛЬТУРЫ,"Сытые и модные витии!
Вам плевать сегодня на страну!
Разве можно не любить Россию,
Если мир ей объявил войну.

Что же вы стреляете ей в спину,
Где же ваша совесть, господа?
С вашею поддержкой не покинут
Этот мир нацисты никогда.

Это стыдно, а точнее-подло
Бить военных воплями под дых.
Никогда в России ваша «кодла»
Не полюбит ратников своих.

Мы за тех, кто, точно, хочет мира,
Мы за тех, кому даны права,"
Владимир СИЛКИН,Либералы-пацифисты,"Либералы-пацифисты
Заявляют: «Нет войне!»
И фашисты, и нацисты
Беспрестанно бьют по мне.
И мороз идет по коже
От визжащей этой тьмы.
Кто же Родине поможет
В этот час, если не мы?!
Вместе с армией родною
Перемелем вражью мразь,
Со своей родной страною
Не дадим втоптать нас в грязь."
Владимир СИЛКИН,Глаза сегодняшней Антанты,"Глаза сегодняшней Антанты
На нас в упор глядят с Карпат.
Со всей Европы оккупанты
Согнали к ним своих солдат.
Визжат и Вильнюс, и Варшава, Они уже готовы в бой.
Но нашу землю, нашу славу
Не отдадим мы им с тобой."
Владимир СИЛКИН,"Не беспокойся, Родина, за нас","Не беспокойся, Родина, за нас,
Ты подняла нас, ты нас воспитала.
И выполним мы твой любой приказ,
Поскольку мы из русского металла."
Владимир СИЛКИН,"Мы никому не отдадим Победы, Ни перед кем мы не склоним знамен.","Мы никому не отдадим Победы,
Ни перед кем мы не склоним знамен.
На нас глядят из бронзы наши деды,
И мы не позабудем их имен."
Владимир СИЛКИН,"Степь просторна, небо чисто.","Степь просторна, небо чисто.
Как Россию не любить?!
Били и еще нацистов
Сколько надо, будем бить."
Владимир СИЛКИН,"Приказ, на то он и приказ.","Приказ, на то он и приказ.
Главнокомандующий знает,
Что он надеется на вас,
И вам Россию доверяет."
Владимир СИЛКИН,"Не нужны нам ни Харьков, ни Киев,","Не нужны нам ни Харьков, ни Киев,
И Полтавская ночь не нужна,
Потому, что безмерна Россия,
И чужого не хочет она.

Нашей технике нету преграды,
И встречает, как братьев, Донбасс.
Не грозите России, не надо,
Пока русский не трогает вас."
Владимир СИЛКИН,"Ничего дороже нет,","Ничего дороже нет,
Кроме Родины любимой.
От нее и в душах свет
У солдат неугасимый."
Владимир СИЛКИН,"Русский мир сейчас един, От Камчатки и до Крыма.","Русский мир сейчас един,
От Камчатки и до Крыма.
Никому не отдадим
Нашей Родины любимой.

Не грозите, господа,
Лучше проходите мимо.
Не понять вам никогда
Нашей Родины любимой.

За нее встаем стеной
В час, когда необходимо.
Вся Россия со страной,
С нашей Родиной любимой."
