author,title,text
Александр АНАНИЧЕВ,НАША ПРАВДА,"В который раз из нас творят врага
За то, что наша правда высока
И широко Отечество не в меру,
Что руку мы подняли на Бандеру.
Грозят и воют-нас не запугать.
Знаком их лай, знаком звериный норов...
Нам этот мир спасать не привыкать
То от былых, то нынешних монголов.
Мы знаем их. Они не знают нас:
Какие сны нам сладостные снятся,
Кто нас хранит и в прошлом, и сейчас.
Не знают нас-и потому боятся.
Они клянут и Сталина, и Крым, И русский снег, и правильную веру...
Жалеем их. И, может быть, простим.
Мы их простим, когда добьём Бандеру."
Григорий БЛЕХМАН,РОССИЯ ВСПРЯЛА ОТО СНА...,"Россия вспряла ото сна от восьмилетней вялой спячки,
могло бы всё пойти иначе, а так...
больна сейчас весна в слезах и в грохоте,
с надеждой, что не останется, как прежде,
здесь Новороссия одна.

И вот теперь уже война, хоть запоздало,
и начало сулит нам трудностей немало,
однако всё же что-то вдруг случилось
в нашем пробужденье...
Да, долгожданное мгновенье
кого-то привело в испуг с разноголосицей, молчаньем,
а кто-то даже впал в отчаяние...
Но всё-таки нас большинство,
кто не утратил своего позиционного начала,
которое нас воспитало историей побед России,
где справедливость нашей силы веками переплетено.

Вот и сегодня эта явь,
в какой бы ракурс ни поставь,
похожа на глубокий выдох,
дающий нам достойный выход,
чтоб сделать уже вдох иной
победной поступью входящий
с недавней спячки в настоящий активный,
долгожданный день.
И цель сейчас у нас одна
это священная война
не с Украиной, а с фашизмом,"
Григорий БЛЕХМАН,"Азартом мести брызжет Запад ему такой параграф задан, в котором что-то не срослось, а потому и не сбылось, ведь он никак ожидал, насколько русский дух дремал, насколько он неистребим, и мы непобедимы с ним.","Азартом мести брызжет Запад ему такой параграф задан,
в котором что-то не срослось, а потому и не сбылось,
ведь он никак ожидал, насколько русский дух дремал,
насколько он неистребим, и мы непобедимы с ним."
Григорий БЛЕХМАН,Поэтому звучат слова,"Поэтому звучат слова
которые несёт молва:
«Донбасс, Россия и весна».
Где есть и наши имена."
Александр БОБРОВ,ТЕМ - С БУЛЬВАРНОГО КОЛЬЦА...,"Пугающая цифра - 8 лет,
Её теперь использует поэт,
А чаще - журналист, пропагандист
И даже тот, чей мозг - как чистый лист,
В сознанье - ни деталей, ни примет,
Ни тени осознанья: 8 лет,
В которые попали без вины
Простые люди - две былых войны!

И вот сегодня сотни подлецов
Выходят на Бульварное кольцо,
Их большинство ходило в пятый класс,
Когда нацисты проклинали нас.
«Героям слава!» - силитесь кричать?
Ну что ж, рискните! Стоит лишь начать,
Чтоб ненависть народа заслужить.
А вам ещё в России жить да жить..."
Александр БОБРОВ,УКРАИНСКИЙ СОЛДАТ,"...Мне жаль и украинского солдата,
Который лёг с рожком от автомата
На грязновато-ноздреватый снег.
И если парень - не из добробата,
То лишь отчизна-нэнька виновата,
Коль до цветенья не продлится век.

Зачем она кордоны городила,
Зачем в эфир гордонов посадила,
Делила на свидомых и чужих?
Над Волновахой каркают вороны,
И в пекле безнадёжной обороны
Отечески шепчу: «Держись, мужик...»."
Александр БОБРОВ,"Я сам солдат - не говорю: сдавайся,","Я сам солдат - не говорю: сдавайся,
Но как-то без оружья выходи,
Перешагни чадящие руины,
И, дай Господь, на шляхах Украины
Ещё случится встреча впереди..."
Владимир БОРДЮГОВ,Z,"Сыны России посланы не зря
Очистить сорняки фашистской поросли,
Чтоб встала вновь уставшая заря,
Больные ветви вновь цветами ожили.

Как правда русская упорна и тверда!
Не крест ли это наш - нести спасение
От мутной дури, тёмной, как орда,
От умопомраченья - до прозрения.

А праведный всегда не лёгок бой,
В нём новые рождаются герои,
И Кати Ивановы вновь собой
Во имя жизни раненых закроют.

Бенграды, Кимы... - как литой кастет,
Кулак стальной, что Родина сплотила...
И стала символом простая буква ""Z"",
Что танков бронь к Победе окрестила."
Владимир БОРДЮГОВ,ОБЫЧНЫЙ НАЦИЗМ,"Отпрыгались, отвеселились...
Одессу можно им простить?
Как в щели - в города забились -
Живым щитом себя прикрыть.

Они - не люди, не солдаты,
Раз прикрываются людьми
В крови погрязшие нацбаты,
Отребью Гитлера сродни.

Им чужды совесть, Украина,—
Им нужен мёртвым русский мир,"
Владимир БОРДЮГОВ,"Им наплевать, что дом в руинах, Им нужен лишь кровавый пир.","Им наплевать, что дом в руинах,
Им нужен лишь кровавый пир.

Они б сменили вышиванки
На цвет коричневых рубах,
Но вдруг - мелодия «Славянки»,
И воздух порохом запах.

Пусть думают, огня отведав,
Остатком сплющенных мозгов...
Идём ""Z""а веру, ""Z""а Победу,
И не жалеем сапогов..."
