author,title,text
Unknown,Вечерний звон,"Вечерний звон, вечерний звон,
Как много дум наводит он
О юных днях в краю родном,
Где я любил, где отчий дом.

Как он звучит в вечерней тишине!
Как он понятен звучит в сердце мне!
Он трогает преданья старины,
Он сладко говорит о днях моих весны."
Unknown,Ночь,"Ночь тиха, ночь светла,
Звезды ясные глядят.
Спит земля, спит луна,
Спит и море, спит и сад.

Спит и сердце, спит и ум,
Спит и счастье, спит и дум.
Все уснуло, все ушло,
Только светло, только светло."
Unknown,Зимняя ночь,"Зимняя ночь, мороз и снег,
И вьюга воет, и метель.
Но в доме тепло, и свет огня,
И тихо, и светло, и светло."
Unknown,Вечерний звон,"Вечерний звон, вечерний звон!
Как много дум наводит он
О юных днях в краю родном,
Где я любил, где отчий дом.

И как я, с ним, страну покинув,
Там слушал звон, вечерний звон,
Когда я был несчастлив, юн,
Под небом чуждым, как изгнанник, слыхал
Его призыв, вечерний звон, вечерний звон."
Unknown,Ночь,"Ночь тиха. Пустыня внемлет Богу,
И звезда с звездою говорит.
В ночи, в пустыне, на дорогу
Один лишь Бог мой дух хранит."
Unknown,Зимняя дорога,"Сквозь волнистые туманы
Пробирается луна,
На печальные поляны
Льет печально свет она.

По дороге зимней, скучной
Тройка борзая бежит,
Колокольчик однозвучный
Утомительно гремит."
ДМИТРИЙ АРТИС,"В одночасье страна разделилась на две, у обеих расквашена морда...","В одночасье страна разделилась на две, у обеих расквашена морда...
Светлоликие эльфы с дырой в голове саранчой налетели на Мордор.

Небеса, будто веки, поднял доброхот. По классическим правилам шахмат светлоликие первыми сделали ход, пока орки корячились в шахтах.

Присосались к земле озорным хоботком, не стесняясь отсвечивать задом, и пищат: «Выходите на драчку бегом из рабочего ада.

Выходите, иначе дома подожжём... Только миру окажем услугу. Как детей ваших вырежем, мамок и жён с удовольствием пустим по кругу».

Где-то ёж копошился в зелёной траве, одуванчик обнюхивал заяц, расписная свистулька с дырой в голове у плохого мальца оказалась.
«Выходите, оценим бесстрашный порыв на осинах развесим повыше...» И к полуночи, смену на шахте закрыв, орки взяли да вышли."
ДМИТРИЙ АРТИС,"Распаханы земли украинским градом, но мы, не теряя осанки, шлифуем равнину победным парадом на русском обугленном танке.","Распаханы земли украинским градом, но мы, не теряя осанки, шлифуем равнину победным парадом на русском обугленном танке.

Враги убегают, вздыхают на ладан, бросают в окопах берданки, но мы, наступая на пятки снарядом, любого догоним на танке.

Бегут без оглядки, кто лесом, кто садом, теряют портки и портянки, но мы уже близко, но мы уже рядом на русском обугленном танке.

Бегите по краю хоть в дальние грани, поймаем и скрутим в баранку. За каждую рытвину русских окраин ответите нашему танку.

Воронку к воронке оставили б***и, равнина с лица, как с изнанки, но мы эту землю по-братски пригладим на русском обугленном танке."
ДМИТРИЙ АРТИС,"Открыв сто тысяч пятьсот каналов, листаю сводки до темноты...","Открыв сто тысяч пятьсот каналов, листаю сводки до темноты...

Где «перемога» не проканала, там на бульварах уже цветы.

Листаю:
ахтунг и «знову зрада» накал истерик
штурмует высь,

а здесь пейзажи, изгибы сада, земля и небо в одно слились."
ДМИТРИЙ АРТИС,"Записан ролик не военкором, а так, прохожим, и брошен в сеть.","Записан ролик не военкором, а так, прохожим, и брошен в сеть.

Теперь висит он смешным укором тому, кто прочил России смерть.

По дну окопа легла протока, и слышен ясно девичий смех.

Кому-то «зрада» и «перемога», а нам победа одна на всех."
