author,title,text
Линор Горалик,Что это хорошо,"И совершили Они к седьмому дню дела свои, которые Они делали, и почили в день седьмый от всех дел своих, которые делали.

И благословили Они седьмой день, и отметили его, ибо в оный почили от всех дел своих, которые делали.

И вспоминали Они все, что делали, и вот, было хорошо весьма.
Так, был вечер, и было утро: день шестой.

Всем зверям земным, и всем птицам небесным, и всякому пресмыкающемуся по земле, в котором сохранилась душа живая, обеспечена была забота"
Линор Горалик,И стало так.,"И стало так.

И сказали Они: вот, мы дадим этим людям выжившим всякий пакет первой помощи, объем которого не превышает описанный в разнарядке, и всякий гуманитарный паек, какой положен им в соответствии со сложившейся ситуацией;

- им сие будет в пищу;

И благословили Они тогда людей этих выживших, и сказали им:
плодитесь и размножайтесь, и наполняйте заново эту землю,
и обладайте ею в соответствии с зачитанной вам конвенцией и в пределах ее, и владычествуйте над рыбами морскими и над птицами небесными, и над всяким животным, пресмыкающимся по земле.

И вывели Они человеков из заранее обеспеченных всем необходимым
оперативно развернутых убежищ, —
человеков, переодетых в комфортную
и гигроскопичную форму,"
Линор Горалик,И сказали Они:,"И сказали Они:
в центре было принято решение
все-таки сохранить мирное население
как понято прием
мирное население сохраняем алле?
Ясно, разворачиваем план ""Бета-Тета"",
убежища, переодевание, полный фарш,
только потом приступаем, -
слушайте, а что насчет рыб морских,
и птиц небесных, и скота,
и всей земли, и всех этих гадов,
пресмыкающихся по земле, прием
Ага, понял, отбой."
Линор Горалик,И передали Они распоряжения насчет,"И передали Они распоряжения насчет
зверей земных по роду их,
и насчет скота по роду его, и всех гадов
земных по роду их,
и позволили они международным
зоозащитным организациям
присутствовать на границе проводимой операции
и ждать часа своего.
И увидели Они, что это хорошо."
Линор Горалик,"И благословили Они существ этих, говоря:","И благословили Они существ этих, говоря:
плодитесь и размножайтесь,
и наполняйте воды в морях,
и птицы да размножаются на земле, поскольку до сих пор не замечены

ни в пособствовании действиям Тех, ни в вербовке Этих."
Линор Горалик,"И запеленговали Они рыб больших и всякую душу животных пресмыкающихся, которых произвела вода, по роду их, и всякую птицу пернатую по роду ее, чтобы впредь иметь возможность отчитаться перед экологическими институциями","И запеленговали Они рыб больших и всякую душу животных пресмыкающихся, которых произвела вода, по роду их, и всякую птицу пернатую по роду ее, чтобы впредь иметь возможность отчитаться перед экологическими институциями
за сохранность их.
И увидели Они, что это хорошо."
Линор Горалик,И сказали Они:,"И сказали Они:
да будут светила на тверди небесной, предназначенные для отделения дня от ночи, и для знамений, и времен, и дней, и годов, и лежащие в основе религиозного
календаря Этих и Тех, ясно видны в ходе нашей миротворческой операции, чтобы никто не мог упрекнуть нас в неуважении к местным религиозным и этническим традициям; И увидели Они, что это хорошо."
Линор Горалик,И сказали Они:,"И сказали Они:
да будет замечено, что используемые нами
в рамках Женевской конвенции
поражающие вещества
не помешают земле произрастить зелень, траву, сеющую семя, дерево плодовитое, приносящее по роду своему плод, в котором семя его на земле.
И стало так."
Линор Горалик,И сказали Они:,"И сказали Они:
да сосредоточим мы Тех, которые ставят
под угрозу жизнь,
покой и гуманитарный вектор развития
мирного населения,
в одно место, и да явится им предначертанная
для них участь.
И стало так."
Линор Горалик,И назвали они свет,"И назвали они свет
""наблюдательной зоной
для гуманитарных и общественных
международных организаций"",
а тьму
""зоной контролируемого поражения"".
И был вечер, и было утро: день один."
Линор Горалик,И сказали Они: да будет свет.,"И сказали Они: да будет свет.
И в повисли в небе осветительные
установки, и стал свет."
Лена Берсон,Живое не станет взрывать живое.,"Живое не станет взрывать живое.
Безжалостно заживо жечь живое.
Когда мы увидимся? Бог с тобою,
Мы больше уже никогда теперь."
Лена Берсон,"Ты спросишь: ""Ну как там?"", услышу - Харьков.","Ты спросишь: ""Ну как там?"", услышу - Харьков.
""Что с тем ли, что с той ли?"", скажу - Гостомель.
Ты скажешь, что время идет на убыль,
Что столько не видеться - это глупо,
А я - ""Мариуполь"" тебе отвечу.
А я - Мариуполь."
Лена Берсон,Живое не будет пытать живое.,"Живое не будет пытать живое.
Терзать, заставлять умирать живое.
""Приедешь, я праздничный стол накрою,
Всей правды не знаем ни я, ни ты""."
Лена Берсон,"Но правда, пока ты ее не знаешь,","Но правда, пока ты ее не знаешь,
Глаза выворачивает - мол, на, ешь,
И, стиснув ладонью песок и землю,
Кровавый куличик толкает в зенки:
Живых, что ли, ищешь? Живых-то здесь нет.
Никто не воскреснет."
Лена Берсон,"Как хлебные крошки, что тряпкой смёл ты,","Как хлебные крошки, что тряпкой смёл ты,
Живых разметало по воле мёртвых.
Мы живы не Пасхой - ее кануном,"
Лена Берсон,"Не светом, а тем, что почти ослепли.","Не светом, а тем, что почти ослепли.
И первая травка, и снег последний
Уже ни к чему нам."
Лена Берсон,"В чужой стране с утра вставать не к спеху,","В чужой стране с утра вставать не к спеху,
А надо встать, уже никто не спит.
Ты думаешь: ok, dum spiro spero,
Но нужен спирт."
Лена Берсон,"Где магазин? Направо и налево,","Где магазин? Направо и налево,
Пройди двором, напрасно покружив.
В чужой стране с утра идешь за хлебом,
Поскольку жив."
Лена Берсон,"Распределен, и никаких истерик,","Распределен, и никаких истерик,
По лужам - снег, как жизнь по роддомам.
Когда пойду долиной смертной тени —
Зла убоюсь, но виду не подам."
Лена Берсон,"Идти на выход, на позор, на бойню,","Идти на выход, на позор, на бойню,
Зажав весенний день в глазах сухих.
Не вейся, черный ворон, я не твой, не
Ищи своих."
Лена Берсон,Как желтый жжет и осеняет синий,"Как желтый жжет и осеняет синий
Февраль, располовиненный уже!
Безвиз Отца, прожилки глины в Сыне
В натянутом на лужу витраже."
