author,title,text
Константин Шавловский,эти буквы сейчас расписываются,"эти буквы сейчас расписываются
в военных преступлениях
каждая буква русского алфавита
а - виновна
и - виновна
б - виновна

как же на трубах судного дня
говорить с мобилизованными ангелами
до сих пор не закрытого неба..."
Константин Шавловский,Это стул для Пети,"Это стул для Пети
Это для Сани
Это стул для Серёжи
И корм для Ганди..."
Юлий Гуголев,Одни сидят ни живы ни мертвы,"Одни сидят ни живы ни мертвы,
в других навылет выжжена дыра:
плач матери, сестры, жены, вдовы
под телевизионное „ура“"
Юлий Гуголев,"Что ж ты, брат, ни гу-гу?","Что ж ты, брат, ни гу-гу?
Вот он лежит, как ёжик, ни головы, ни ножек,
дырочка в правом боку."
Валерий Дымшиц,стих рассыпан на слова,"стих рассыпан на слова
слова на буквы
из бурака из брюквы
прорастает трава
в дырочки о и а"
Лев Оборин,выели,"выели
дыры дыр
дыры дыр
убива
ют людей"
Никита Сунгатов,это россия,"это россия
вместо лица дыра
вместо россии дыра
всё что было россией дыра
новая реальность
дыра"
Варвара Недеогло,россия очень много мокрой дымящейся земли,"россия очень много мокрой дымящейся земли
мое сердце трамбует
бронетранспортер"
Юлия Фридман,Скатертью дорожка и воздух лесенкой...,"Скатертью дорожка и воздух лесенкой...
умоляет полено - пускай хоть сожгут, хоть выебут,
Только, папа Карло, не делай из меня Буратино... (25 июля)"
Алексей Порвин,давайте-ка сказка расскажет вам человека,"давайте-ка сказка расскажет вам человека,
но рассказ надо начинать с начала или с конца:
вот и слышится сплошное молчание... (5 марта)"
Дмитрий Дедюлин,знаете ли вы украинскую ночь?,"знаете ли вы украинскую ночь?
о! вы не знаете украинскую ночь!
не стреляют зенитки
мышь не шуршит под обоями
не грохочет гул отдалённой канонады..."
Демьян Фаншель,Не особо тиха украинская ночь На Ивана Купала.,"Не особо тиха украинская ночь На Ивана Купала.
Для веселия рота дороги обочь
Здесь укрытья копала."
Константин Шавловский,даже погромщики равнодушны,"даже погромщики равнодушны
и можно переливать
мертвую воду
в серебряное копытце
сказка про темноту"
