author,title,text
Ирина Иванченко,Завтра будет война с отсыревшими за зиму листьями.,"Завтра будет война с отсыревшими за зиму листьями.
Завтра будет весна, только это в сегодняшнем истинно.

Снег пришел и ушел, отступив от позиций осадных.
Будем листья в мешок собирать и готовить рассаду.

Будем резать, сажать и копаться в земле глинобитной.
А потом урожай, это будет великая битва.

Завтра будет война с ошалевшими к маю жуками.
И река - да взорвется она золотыми мальками.

Завтра будут разгон и побег вод небесных в околицах здешних.
- Что там, Господи, враг или снег?

- Распустились черешни."
Ирина Лукьянова,"По ночам, отправляясь ко сну","По ночам, отправляясь ко сну,
Я опять проверяю войну.
И, как водится, мне не до сна:
Рядом топчется эта война.
Мне опять говорят в эти дни:
Ты возьми - и ее прогони.
Если весь ваш захочет народ,
Сразу встанет она и уйдет.
А вот если она не ушла
Значит, ты ее плохо гнала.
Или ты ее прямо звала.
Или ты ее и начала.
И тогда у меня в глубине
Как песок завихрится на дне!
Поднимается злая волна.
Созревает «так на тебе, на!»
И ушами поводит война.
И, похоже, довольна она.
Что-то нынче опять не засну.
Вот опять караулю войну.
А то утром очнешься от сна
- и она."
Олег Дозморов,Я проснулся в четыре утра от дождя.,"Я проснулся в четыре утра от дождя.
Он шуршал, барабанил. Однако так, негромко, практически шелестя, и во сне завозилась собака.

Означал этот звук шелестения что?
Из кармана достали пятерку?
Прошептала, очнувшись: «Що тобі, милий, що?» и скорей разрывали обертку?

Иль особенно был бесконечно тягуч этот шорох далекий, поскольку аккуратно снимали с бечевки сургуч, разворачивали бандерольку?

Долго звук шел из мест, где без малого век до того появился на свет
дед мой, а ныне в «дубке» человек открывает из штаба пакет."
Тикки А. Шельен,"Мы проснулись сегодня утром, а под нами горит земля.","Мы проснулись сегодня утром, а под нами горит земля.
Эта, черная, с новой травкой и цветочками миндаля,
Люди ходят по ней спокойно, город жизнью своей живет,
а под нами она пылает - как подстреленный вертолет.
Застилает вонючим дымом, наступает дневная тьма.
Подо мною земля пылает - я невольно схожу с ума...
И у многих вокруг - я вижу - тот же страшный, ослепший взгляд.
Мы идем по горящим углям.
И над нами щерится ад."
Тикки А. Шельен,Нам преподали страшные уроки географии.,"Нам преподали страшные уроки географии.
Весь мир выучил, на каком море стоит Мариуполь.
Весь мир узнал названия городов Буча, Гостомель, Ирпень.
Весь мир искал на картах атомные электростанции Украины и прикидывал розу ветров."
Тикки А. Шельен,"Еще мне показалось важным, чтобы читатели видели, откуда именно шел сигнал, из какого уголка мира слышался голос поэта.","Еще мне показалось важным, чтобы читатели видели, откуда именно шел сигнал, из какого уголка мира слышался голос поэта.
Поэтому сборник разделен на три части: поэты из Украины, поэты из России, поэты со всего остального мира.
Из этого многоголосия рождается объемная картина, многомерный слепок эмоций и раздумий военного времени.
И мы видим, как волны боли расходятся по планете, как круги по воде, мы отчетливо ощущаем эти три радиуса поражения: Украина под огнем, Россия под сапогом, весь мир - под вопросом."
Тикки А. Шельен,"Вы заметите, насколько эти новые стихи вписаны в общее пространство большой мировой истории, культуры, как опираются на них, словно на несущий каркас.","Вы заметите, насколько эти новые стихи вписаны в общее пространство большой мировой истории, культуры, как опираются на них, словно на несущий каркас.
Почти на каждой странице мы встречаем тут старых знакомых.
Вспоминаем образы прошлой большой войны, обращаемся к войнам других времен и народов.
Всматриваемся в иные темные времена: каково было в тех, давних подвалах-убежищах?
Как жилось антифашисту в Германии восемьдесят лет назад?
Вспоминаем цитаты из любимых песен и книг - и горькие, и дающие надежду.
Поэты снова задаются вопросом «Хотят ли русские войны?»
Снова задумываются о крестном пути Христа и спрашивают «Смерть, где твое жало?» - но без прежней уверенности в ответе.
И как не вспомнить Потемкинскую лестницу и коляску на ней, если в Одессе под обстрелами погибают дети?
Иногда поэты берут даже забавные детские стишки, укладывая в их ритм новые, страшные смыслы.
В одном из стихотворений сборника вы, несомненно, узнаете очень запоминающуюся сцену из фильма «Унесенные призраками» Хаяо Миядзаки: не буду раскрывать этот секрет, пусть на этот раз читатель сам найдет разгадку."
Ананастя,"Обещай, что останешься человеком","Обещай, что останешься человеком,
Пытайся, слышишь? Пусть неумело.
С неба сыплются хлопья века.
Несет горелым.
Прошу, оставь открытыми уши,
Пусть помехи и ветер свистит.
Прошу, не позволяй разрушить
Мост над ненавистью.
Хрустнет косточкой под ногой
Снег ли? Век ли?
Обещай, что все равно будешь мной,
Ты, в зеркале."
Ананастя,Вечерний звон,"Вечерний звон, вечерний звон,
Как много дум наводит он
О юных днях.
Те дни как сон, как утренний туман
Исчезли давно, исчезли без следа,
Но сердце, полное одной страданьем,
Так чутко внемлет звукам тех времен."
Ананастя,"Вечерний звон, вечерний звон, Как много","Вечерний звон, вечерний звон,
Как много дум наводит он
О юных днях.
Те дни как сон, как утренний туман
Исчезли давно, исчезли без следа,
Но сердце, полное одной страданьем,
Так чутко внемлет звукам тех времен."
Денис Антоненко,Просыпаясь в седьмом круге ада,"Просыпаясь в седьмом круге ада,
Я собачку под боком трогаю...
Как немного для счастья надо,
И как важно это немногое! 02.03"
Денис Антоненко,"Мне говорят: «Скорей беги, не мешкай!»","Мне говорят: «Скорей беги, не мешкай!
Уже не будет жизни прежней городской,
В игре без правил ты - всего лишь пешка...
Нет, я сейчас являюсь шахматной доской! 06.03"
Денис Антоненко,Видно не унять уже никак,"Видно не унять уже никак
Мне воображение больное -
Гул сирены слышу в сквозняках,
И «война» рифмуется с «весною»... 14.03"
Денис Антоненко,"На столе - блокнот, на стене - картина","На столе - блокнот, на стене - картина,
В голове роятся обрывки рифм...
У стихов моих стал сбиваться ритм
Доктор говорит: «Это стихокардия». 08.04"
Денис Антоненко,"Вряд ли могут представить любители книжные войн,","Вряд ли могут представить любители книжные войн,
Знатоки, что про силу ракет рассуждают со вкусом,
Как гиеной голодной идет за солдатами вонь,
Как вгрызается намертво в трупы живых едким скунсом.

Как ее ни таи - но проступит она на лице
(И всегда будет их выдавать с головой, с потрохами)
В генерале штабном и в уверенном том подлеце,
Что с экрана вещает, как надо бороться с врагами.

И воняют их лица, ничем эту вонь не унять,
Сколько в баню теперь ни ходи - лишь ботинки сотрешь ты.
И воняет их дело, не может оно не вонять,
Тех, кто смерти ручьи в море смерти скрывал, как матрешки."
Денис Антоненко,Эвакуация,"Оплачен рейс, оформлен чек,
Полны причалы грустных тварей
И отправляется Ковчег,
Такой, как в книжках рисовали:

Немного тесно, но тепло
(Друг дружку греют все боками).
Оставив за кормою Зло,
Плывет Ковчег под облаками.

Тут есть морковка для ослов,
А для гурманов - плов с грибами.
Вот только левое весло
Заметно круче загребает...

Нас уверяют, что Потоп
Закончится к началу мая,
Но горе нам, когда потом
Мы в Ное разглядим Мазая!"
